Nombre;Muestra;Cod. Hex.;R;G;B;H;S;V
Gris frío;;#496063;73;96;99;187°;26%;39%
Lino;;#D7D0B7;215;208;183;47°;15%;84%
Platino;;#E5E4E2;229;228;226;40°;1%;90%
Plata;;#BEBEBE;190;190;190;—°;0%;75%
Blanco humo;;#B4BCC0;180;188;192;200°;6%;75%
Aluminio;;#B9B8B5;185;184;181;45°;2%;73%
Alice blue;;#91A3B0;145;163;176;205°;18%;69%
Humo o gris humo;;#84939C;132;147;156;114°;28%;144%
Elefante;;#9B8F79;155;143;121;39°;22%;51%
Zinc o cinc;;#91888B;145;136;139;340°;6%;57%
Acero;;#8B8589;139;133;137;320°;4%;65%
Níquel;;#8F817F;143;129;127;8°;11%;56%
Xanadú;;#738678;115;134;120;136°;14%;53%
Gris (HTML);;#808080;128;128;128;—°;0%;50%
Torcaza o taupe (gris pardo);;#87794E;135;121;78;45°;42%;53%
Pizarra;;#5D6770;93;103;112;208°;17%;44%
Plomo;;#666666;102;102;102;—°;0%;40%
Gris de campaña;;#59646A;89;100;106;201°;16%;42%
Asfalto o pizarra;;#555555;85;85;85;—°;0%;33%
Antracita negro-gris metálico;;#383E42;56;62;66;204°;15%;26%
Azabache;;#343434;52;52;52;—°;0%;20%
Negro;;#000000;0;0;0;—°;0%;0%
Carbón;;#191919;25;25;25;—°;0%;10%
Cordobán;;#3B2A21;59;42;33;21°;44%;23%
Negro bujía;;#2A3223;42;50;35;92°;30 %;20%
Negro de humo;;#382212;56;34;18;25°;68%;22%
;;;;;;;;
